soil_type,moisture_content,bulk_density,grain_size,foundation_depth,field_observation_score,bearing_capacity,safety_class
Silt,22.77,21.38,Coarse,1.18,2,245.62,Safe
Sand,20.62,16.62,Fine,1.6,5,207.96,Safe
Silt,11.86,14.36,Coarse,2.51,5,213.2,Safe
Silt,22.07,16.82,Fine,1.88,4,173.76,Moderate
Sand,27.13,18.03,Medium,1.41,5,217.58,Safe
Clay,15.99,17.73,Coarse,2.64,4,229.45,Safe
Sand,18.45,16.7,Fine,0.54,1,162.13,Moderate
Sand,15.09,21.29,Coarse,0.53,4,338.06,Safe
Silt,33.76,17.79,Medium,1.88,5,215.52,Safe
Clay,35.9,14.17,Coarse,2.02,1,50.0,Unsafe
Gravel,34.77,18.25,Fine,0.65,2,238.93,Safe
Sand,39.47,20.75,Medium,1.2,3,252.84,Safe
Clay,5.82,18.91,Fine,1.6,4,158.54,Moderate
Sand,6.31,21.86,Medium,1.75,4,311.13,Safe
Silt,19.74,16.74,Fine,2.1,3,176.24,Moderate
Sand,10.38,21.9,Fine,1.99,5,308.28,Safe
Silt,30.45,20.86,Coarse,2.54,4,266.13,Safe
Clay,13.64,21.51,Fine,2.85,5,246.31,Safe
Sand,26.24,16.06,Coarse,2.17,3,251.65,Safe
Silt,33.32,21.59,Coarse,2.26,4,309.45,Safe
Gravel,29.76,18.04,Fine,2.82,2,347.69,Safe
Sand,11.46,18.77,Medium,1.8,2,248.54,Safe
Silt,32.32,18.1,Coarse,0.94,3,222.71,Safe
Silt,8.22,20.47,Fine,2.67,5,271.46,Safe
Silt,17.67,17.22,Fine,1.82,5,177.32,Moderate
Gravel,15.84,20.27,Coarse,2.1,2,400.0,Safe
Sand,32.47,20.06,Coarse,1.87,5,362.23,Safe
Silt,15.92,15.07,Medium,0.7,5,169.09,Moderate
Sand,18.88,16.38,Fine,1.59,3,226.78,Safe
Silt,8.34,18.0,Medium,2.6,2,202.03,Safe
Clay,13.75,20.71,Coarse,2.84,2,236.97,Safe
Silt,10.14,14.73,Medium,1.9,5,215.14,Safe
Clay,5.29,19.61,Medium,0.78,2,145.71,Moderate
Clay,24.93,17.1,Medium,0.92,3,77.9,Unsafe
Sand,12.08,21.19,Medium,1.69,2,296.19,Safe
Clay,36.83,15.21,Fine,2.96,2,62.61,Unsafe
Clay,9.48,16.0,Fine,1.18,5,115.77,Moderate
Silt,22.52,15.48,Fine,0.82,1,127.47,Moderate
Silt,28.27,20.97,Coarse,1.23,2,205.03,Safe
Sand,38.53,19.91,Fine,1.54,5,210.69,Safe
Silt,38.43,18.84,Medium,1.77,5,232.07,Safe
Silt,24.43,16.76,Coarse,1.15,2,204.19,Safe
Sand,29.38,19.33,Coarse,2.55,1,338.28,Safe
Clay,7.35,18.92,Fine,2.89,2,188.6,Moderate
Clay,39.92,20.52,Coarse,2.17,1,89.07,Unsafe
Clay,17.92,16.59,Fine,2.46,5,144.6,Moderate
Clay,5.89,16.28,Fine,1.29,4,140.48,Moderate
Silt,33.24,15.91,Fine,1.08,5,141.64,Moderate
Sand,25.01,14.13,Fine,1.98,5,203.37,Safe
Sand,17.61,17.32,Coarse,0.88,2,269.5,Safe
Silt,22.68,17.2,Coarse,1.19,5,201.18,Safe
Sand,10.53,21.32,Medium,2.6,5,356.35,Safe
Sand,18.01,19.01,Fine,2.88,1,251.62,Safe
Clay,25.4,14.2,Fine,2.03,5,88.06,Unsafe
Sand,33.13,21.57,Coarse,1.39,5,325.56,Safe
Clay,15.72,18.66,Medium,2.66,2,189.32,Moderate
Clay,37.64,21.69,Medium,1.68,1,89.38,Unsafe
Silt,33.0,20.2,Fine,2.69,1,238.18,Safe
Gravel,6.81,20.88,Coarse,1.01,4,400.0,Safe
Gravel,16.86,14.22,Fine,0.58,5,221.09,Safe
Clay,12.95,16.17,Coarse,1.77,5,179.86,Moderate
Gravel,30.58,17.73,Fine,0.64,4,230.65,Safe
Clay,30.96,20.48,Fine,2.07,4,146.86,Moderate
Gravel,32.75,19.9,Fine,1.6,2,273.52,Safe
Clay,25.89,19.29,Medium,1.12,2,118.92,Moderate
Clay,7.29,14.4,Fine,2.22,1,116.02,Moderate
Gravel,20.65,17.54,Fine,1.77,2,288.03,Safe
Clay,5.31,14.69,Medium,0.51,3,94.83,Unsafe
Clay,21.06,21.05,Medium,0.72,1,127.79,Moderate
Silt,7.76,19.28,Coarse,2.25,4,252.15,Safe
Silt,14.41,20.35,Fine,0.74,2,153.56,Moderate
Silt,35.29,16.56,Medium,2.08,2,162.63,Moderate
Sand,39.27,20.3,Medium,1.11,4,255.76,Safe
Clay,18.53,21.26,Fine,2.98,5,231.83,Safe
Sand,20.79,21.03,Coarse,2.54,4,389.81,Safe
Gravel,7.33,21.4,Fine,1.57,3,300.42,Safe
Sand,29.28,16.86,Medium,1.81,5,273.76,Safe
Sand,6.83,16.63,Coarse,1.91,1,272.47,Safe
Clay,24.01,21.52,Medium,1.49,4,177.47,Moderate
Silt,13.36,15.35,Coarse,2.68,2,193.48,Moderate
Clay,15.41,19.0,Medium,1.07,2,125.67,Moderate
Sand,38.84,20.02,Fine,1.16,2,195.22,Moderate
Clay,39.46,18.41,Medium,1.58,3,55.82,Unsafe
Sand,31.3,14.26,Coarse,0.85,4,218.74,Safe
Sand,18.21,16.52,Fine,0.72,2,182.79,Moderate
Silt,25.33,19.32,Medium,0.77,4,166.92,Moderate
Sand,24.79,20.47,Medium,1.84,3,295.89,Safe
Clay,5.51,18.43,Coarse,2.58,5,232.48,Safe
Silt,27.86,20.54,Fine,0.78,4,163.63,Moderate
Clay,8.38,19.38,Coarse,0.75,2,172.14,Moderate
Clay,14.11,21.18,Medium,2.7,5,254.3,Safe
Clay,31.56,20.71,Fine,1.92,3,128.59,Moderate
Silt,29.83,17.44,Coarse,0.64,4,172.04,Moderate
Clay,22.1,21.52,Fine,0.59,1,104.67,Moderate
Silt,25.59,14.49,Fine,1.6,4,146.4,Moderate
Sand,18.93,20.48,Medium,0.96,5,294.09,Safe
Silt,35.34,18.09,Medium,2.1,5,194.72,Moderate
Sand,29.96,15.67,Fine,2.9,2,220.95,Safe
Sand,24.34,19.16,Coarse,1.13,4,293.19,Safe
Clay,36.16,18.37,Fine,2.67,4,105.7,Moderate
Sand,38.43,19.41,Medium,1.03,2,251.79,Safe
Clay,38.88,14.7,Coarse,1.88,5,56.5,Unsafe
Clay,32.43,15.59,Fine,1.45,5,71.48,Unsafe
Clay,13.45,16.07,Fine,2.61,1,119.1,Moderate
Clay,24.34,17.66,Medium,0.67,2,81.79,Unsafe
Clay,38.76,18.25,Medium,0.95,1,50.0,Unsafe
Clay,13.47,15.77,Medium,2.64,4,140.86,Moderate
Clay,33.16,20.06,Coarse,2.89,1,154.8,Moderate
Clay,27.27,16.37,Fine,0.9,3,65.26,Unsafe
Clay,8.87,21.82,Medium,0.57,4,174.38,Moderate
Sand,38.9,15.54,Coarse,1.09,1,225.77,Safe
Clay,25.43,17.89,Coarse,2.07,3,152.5,Moderate
Clay,19.34,17.42,Coarse,2.57,1,176.58,Moderate
Clay,19.62,16.13,Medium,1.44,5,133.97,Moderate
Clay,25.32,16.3,Medium,1.34,3,72.13,Unsafe
Sand,22.44,20.03,Fine,0.59,3,189.36,Moderate
Sand,22.3,15.3,Fine,0.63,5,175.86,Moderate
Sand,21.49,14.8,Medium,2.65,4,264.51,Safe
Silt,11.49,20.35,Fine,2.65,4,279.95,Safe
Sand,14.25,14.87,Coarse,2.15,1,263.7,Safe
Silt,8.59,14.43,Medium,0.95,5,171.26,Moderate
Sand,20.7,21.92,Medium,1.26,5,295.36,Safe
Silt,11.83,18.61,Fine,1.4,3,171.05,Moderate
Clay,35.67,16.62,Fine,1.62,2,50.0,Unsafe
Sand,14.3,14.19,Coarse,0.93,4,206.89,Safe
Sand,26.44,19.7,Coarse,2.96,1,378.07,Safe
Clay,36.15,19.43,Fine,1.54,4,95.05,Unsafe
Sand,15.54,16.34,Coarse,2.47,5,298.01,Safe
Clay,33.89,19.91,Medium,0.5,1,60.05,Unsafe
Silt,26.99,21.36,Fine,2.13,3,197.69,Moderate
Sand,15.34,18.45,Fine,2.86,5,319.24,Safe
Clay,19.64,19.92,Fine,2.06,2,123.69,Moderate
Sand,37.23,20.89,Coarse,0.91,3,302.09,Safe
Sand,13.04,15.57,Fine,2.34,5,260.8,Safe
Clay,32.81,20.93,Coarse,0.69,1,90.16,Unsafe
Clay,21.42,16.23,Medium,2.98,4,169.2,Moderate
Gravel,22.27,14.56,Fine,2.14,3,305.07,Safe
Sand,21.92,20.98,Coarse,0.81,5,334.37,Safe
Silt,5.11,20.68,Medium,1.17,1,229.18,Safe
Clay,21.05,18.12,Fine,1.59,5,134.78,Moderate
Silt,8.44,21.76,Fine,1.48,4,204.39,Safe
Clay,22.7,19.8,Coarse,0.66,4,121.12,Moderate
Clay,7.53,18.33,Medium,0.86,2,126.75,Moderate
Clay,23.25,20.1,Fine,1.29,1,113.14,Moderate
Sand,24.87,20.94,Fine,1.75,1,239.9,Safe
Silt,34.39,15.93,Medium,1.47,4,163.25,Moderate
Clay,36.01,18.85,Fine,2.31,1,88.99,Unsafe
Sand,15.12,18.67,Medium,2.86,4,307.47,Safe
Silt,38.46,19.13,Fine,0.68,4,184.09,Moderate
Silt,22.98,15.52,Medium,2.9,3,210.11,Safe
Gravel,15.03,20.27,Coarse,0.82,4,400.0,Safe
Clay,12.24,17.83,Coarse,2.69,1,177.45,Moderate
Clay,31.86,20.93,Fine,2.78,5,145.06,Moderate
Sand,5.78,16.61,Coarse,2.22,5,310.25,Safe
Sand,20.0,19.17,Fine,1.68,3,238.32,Safe
Silt,35.19,16.64,Medium,1.07,5,168.57,Moderate
Silt,32.8,17.13,Fine,2.36,4,195.19,Moderate
Clay,36.59,18.32,Medium,1.68,3,78.31,Unsafe
Gravel,7.02,15.97,Fine,2.37,2,282.83,Safe
Clay,7.3,20.0,Fine,1.73,2,164.1,Moderate
Sand,17.27,14.85,Fine,1.43,5,195.04,Moderate
Gravel,32.05,16.26,Coarse,2.78,5,400.0,Safe
Clay,11.27,18.28,Fine,1.23,1,114.67,Moderate
Sand,20.17,17.59,Medium,1.83,4,262.55,Safe
Silt,25.61,16.76,Fine,0.57,2,125.44,Moderate
Silt,15.58,21.48,Fine,0.68,1,168.0,Moderate
Gravel,7.42,20.2,Fine,2.41,3,325.93,Safe
Clay,24.19,16.54,Medium,2.91,5,135.92,Moderate
Sand,32.95,20.34,Medium,2.18,3,308.66,Safe
Clay,35.03,20.41,Medium,2.24,3,126.29,Moderate
Sand,7.51,21.68,Fine,1.25,4,253.01,Safe
Silt,12.13,19.42,Medium,1.71,4,256.75,Safe
Gravel,38.74,17.15,Coarse,1.58,1,326.25,Safe
Clay,22.67,21.24,Coarse,1.25,2,182.32,Moderate
Sand,10.6,19.42,Fine,1.2,5,244.39,Safe
Sand,6.16,15.79,Coarse,2.63,4,294.26,Safe
Sand,8.09,18.31,Coarse,2.84,1,285.42,Safe
Sand,22.41,14.38,Medium,2.6,3,242.8,Safe
Silt,29.68,18.1,Coarse,2.51,3,236.49,Safe
Gravel,8.78,16.07,Fine,1.24,2,281.52,Safe
Sand,5.53,16.85,Fine,1.13,5,248.52,Safe
Clay,34.47,18.92,Medium,0.73,4,78.52,Unsafe
Silt,27.83,18.83,Medium,1.51,5,241.31,Safe
Clay,18.45,14.33,Coarse,2.69,1,139.22,Moderate
Clay,16.84,14.32,Fine,2.45,4,107.33,Moderate
Clay,11.27,14.85,Medium,2.37,2,136.17,Moderate
Clay,24.62,17.57,Fine,1.11,1,62.62,Unsafe
Silt,23.18,15.45,Fine,2.34,4,162.56,Moderate
Sand,18.43,16.3,Fine,3.0,5,249.99,Safe
Sand,32.18,18.08,Fine,1.16,3,179.46,Moderate
Clay,25.41,17.68,Coarse,0.66,3,103.23,Moderate
Clay,29.29,19.08,Fine,2.26,3,112.18,Moderate
Silt,28.34,16.2,Medium,2.77,4,233.72,Safe
Gravel,28.08,15.81,Medium,2.27,2,333.36,Safe
Clay,15.6,21.37,Coarse,2.49,3,268.69,Safe
Sand,23.93,21.18,Medium,1.46,2,292.19,Safe
Clay,10.8,15.68,Medium,1.37,3,109.36,Moderate
Clay,36.29,16.9,Coarse,0.97,4,55.41,Unsafe
Silt,23.54,16.05,Coarse,1.75,5,243.23,Safe
Clay,27.46,15.34,Coarse,1.7,4,105.91,Moderate
Sand,35.83,14.31,Fine,0.85,1,152.76,Moderate
Silt,25.18,16.26,Coarse,2.98,4,279.64,Safe
Clay,34.3,17.2,Medium,2.53,5,125.94,Moderate
Clay,15.7,14.08,Fine,2.3,5,110.53,Moderate
Gravel,35.01,19.38,Medium,0.83,1,312.42,Safe
Sand,20.08,16.52,Coarse,1.19,1,227.12,Safe
Clay,12.5,16.71,Medium,0.61,4,129.75,Moderate
Sand,29.37,15.47,Medium,1.51,4,194.09,Moderate
Sand,29.75,18.83,Medium,2.05,2,258.91,Safe
Clay,9.61,14.2,Coarse,1.57,4,143.76,Moderate
Sand,37.94,14.96,Fine,2.38,4,212.08,Safe
Silt,24.62,14.41,Fine,0.83,3,105.95,Moderate
Sand,11.97,16.84,Fine,1.3,4,226.46,Safe
Clay,20.42,17.3,Medium,1.9,4,130.45,Moderate
Gravel,16.63,16.95,Coarse,2.84,2,364.71,Safe
Clay,5.15,17.8,Coarse,0.98,5,179.92,Moderate
Clay,37.03,17.45,Fine,2.84,4,82.96,Unsafe
Sand,26.69,21.48,Fine,1.11,5,277.74,Safe
Silt,38.03,21.27,Medium,2.56,4,289.54,Safe
Gravel,14.89,18.83,Coarse,0.8,2,311.76,Safe
Sand,21.07,16.04,Medium,1.5,1,188.9,Moderate
Sand,29.99,18.2,Medium,2.16,2,272.31,Safe
Sand,13.98,16.68,Fine,1.35,3,203.34,Safe
Clay,32.94,16.45,Coarse,2.03,2,91.53,Unsafe
Sand,17.5,19.94,Fine,0.6,4,219.6,Safe
Gravel,13.83,15.64,Medium,1.07,3,308.25,Safe
Sand,39.06,20.28,Medium,0.85,4,259.12,Safe
Clay,22.61,17.79,Fine,2.6,2,126.75,Moderate
Sand,18.57,20.38,Medium,2.22,5,320.13,Safe
Clay,17.44,21.47,Medium,1.79,3,157.22,Moderate
Sand,13.01,19.53,Coarse,0.91,1,248.73,Safe
Clay,19.58,14.48,Fine,2.44,1,93.33,Unsafe
Silt,22.69,19.1,Medium,2.34,5,283.17,Safe
Sand,5.05,18.4,Fine,1.51,3,201.68,Safe
Clay,30.53,21.84,Medium,2.52,4,186.75,Moderate
Silt,25.2,19.64,Coarse,1.94,3,290.23,Safe
Silt,35.9,17.75,Fine,1.58,2,176.22,Moderate
Clay,17.99,15.03,Medium,1.37,5,107.74,Moderate
Clay,5.68,19.94,Fine,1.34,5,193.18,Moderate
Sand,9.02,17.26,Coarse,2.91,1,269.96,Safe
Silt,33.25,16.29,Fine,2.65,1,147.16,Moderate
Sand,5.76,20.57,Medium,1.84,2,281.21,Safe
Silt,24.82,18.87,Coarse,0.51,2,172.64,Moderate
Clay,18.14,20.42,Medium,0.68,4,143.02,Moderate
Clay,20.19,21.08,Coarse,2.16,3,232.6,Safe
Clay,33.22,16.99,Coarse,1.77,1,73.87,Unsafe
Sand,6.05,21.15,Fine,2.74,3,306.12,Safe
Clay,12.62,16.28,Fine,1.12,1,102.03,Moderate
Silt,39.34,15.65,Medium,2.83,5,177.48,Moderate
Clay,7.19,18.44,Fine,2.35,1,147.42,Moderate
Sand,33.67,20.06,Coarse,2.14,2,269.47,Safe
Sand,27.27,21.88,Fine,2.18,2,239.53,Safe
Clay,27.48,15.3,Fine,0.83,4,52.91,Unsafe
Sand,20.05,18.25,Coarse,1.22,5,304.27,Safe
Sand,14.85,21.17,Fine,1.42,4,227.29,Safe
Sand,35.86,15.65,Coarse,2.95,1,278.98,Safe
Clay,18.11,20.03,Medium,2.9,3,218.93,Safe
Silt,17.15,18.05,Fine,2.38,4,216.66,Safe
Gravel,10.0,19.27,Medium,1.64,2,353.4,Safe
Silt,33.12,14.5,Fine,0.67,3,99.0,Unsafe
Sand,28.72,15.08,Fine,2.58,5,241.34,Safe
Gravel,31.19,17.87,Coarse,1.46,1,322.5,Safe
Sand,11.13,19.76,Coarse,2.39,4,365.45,Safe
Sand,22.87,21.0,Coarse,2.92,3,346.44,Safe
Silt,8.2,15.56,Coarse,1.54,2,214.67,Safe
Sand,27.54,16.0,Coarse,0.99,5,223.33,Safe
Sand,12.12,14.95,Coarse,1.21,4,279.59,Safe
Sand,39.02,17.08,Coarse,1.99,2,259.17,Safe
Sand,21.68,17.18,Medium,2.26,1,258.2,Safe
Clay,38.01,20.08,Coarse,1.6,4,115.48,Moderate
Sand,31.69,21.74,Medium,2.02,3,257.07,Safe
Sand,25.2,18.86,Fine,1.27,4,226.7,Safe
Sand,20.06,14.32,Fine,0.54,4,155.32,Moderate
Silt,36.02,16.72,Coarse,0.51,2,159.35,Moderate
Clay,16.49,17.22,Coarse,0.89,2,133.32,Moderate
Silt,19.05,18.2,Fine,1.81,3,183.3,Moderate
Clay,18.03,17.16,Medium,2.57,5,190.06,Moderate
Silt,19.41,18.41,Medium,2.36,3,217.05,Safe
Clay,32.35,20.49,Fine,1.46,5,131.69,Moderate
Silt,15.38,14.28,Fine,2.27,3,170.3,Moderate
Clay,9.39,16.31,Coarse,2.89,3,206.26,Safe
Clay,33.09,16.61,Fine,1.8,4,62.24,Unsafe
Sand,25.36,20.63,Coarse,2.21,5,315.87,Safe
Sand,38.17,21.66,Medium,2.9,4,353.55,Safe
Silt,30.27,16.5,Medium,0.56,1,127.46,Moderate
Silt,23.03,18.41,Medium,1.09,1,166.8,Moderate
Sand,26.82,17.32,Coarse,1.84,1,266.0,Safe
Clay,39.26,17.06,Coarse,2.14,3,81.23,Unsafe
Gravel,9.37,15.01,Medium,1.32,4,295.34,Safe
Sand,9.06,16.92,Medium,2.68,3,277.81,Safe
Clay,15.06,16.74,Medium,1.68,5,145.99,Moderate
Clay,24.93,18.04,Coarse,1.72,1,130.52,Moderate
Clay,26.78,15.86,Fine,2.19,2,77.66,Unsafe
Clay,19.48,16.84,Coarse,0.55,3,101.6,Moderate
Clay,22.06,14.42,Fine,1.15,5,80.38,Unsafe
Gravel,15.01,20.16,Medium,1.64,3,377.64,Safe
Sand,38.33,17.0,Medium,1.92,1,225.32,Safe
Sand,20.29,17.42,Fine,2.34,4,245.1,Safe
Sand,9.1,14.68,Medium,1.83,1,203.87,Safe
Silt,35.55,16.38,Coarse,2.23,2,196.91,Moderate
Sand,28.42,20.59,Medium,0.88,2,214.74,Safe
Silt,27.99,20.92,Coarse,1.52,1,271.71,Safe
Sand,31.39,14.28,Medium,1.51,5,236.67,Safe
Sand,39.9,20.1,Fine,2.18,2,240.0,Safe
Clay,25.77,19.16,Fine,1.43,4,104.91,Moderate
Silt,29.92,21.8,Medium,1.46,3,257.47,Safe
Sand,39.84,18.96,Coarse,0.51,2,226.36,Safe
Clay,20.15,16.31,Fine,1.12,1,73.16,Unsafe
Clay,5.07,16.58,Medium,2.98,4,229.89,Safe
Gravel,30.93,19.13,Medium,2.22,4,400.0,Safe
Silt,14.05,21.41,Coarse,1.93,4,344.08,Safe
Silt,12.78,14.97,Coarse,1.5,2,192.32,Moderate
Silt,33.88,20.01,Coarse,2.36,5,326.17,Safe
Silt,7.18,21.15,Fine,2.59,1,229.93,Safe
Silt,22.24,15.91,Medium,2.26,2,156.39,Moderate
Sand,29.96,14.58,Coarse,2.04,3,214.29,Safe
Clay,8.9,18.75,Coarse,2.75,5,276.0,Safe
Clay,7.88,20.83,Coarse,0.53,1,166.73,Moderate
Clay,14.89,18.06,Medium,1.89,4,148.53,Moderate
Gravel,24.02,19.72,Fine,2.84,1,329.24,Safe
Clay,17.13,15.13,Coarse,0.59,1,66.75,Unsafe
Silt,13.04,14.74,Medium,1.97,5,214.63,Safe
Silt,30.34,16.04,Fine,2.44,3,191.9,Moderate
Sand,12.89,18.14,Medium,1.19,4,236.54,Safe
Clay,31.58,21.76,Medium,1.33,4,151.96,Moderate
Sand,6.98,18.36,Coarse,1.1,1,284.71,Safe
Clay,38.7,14.65,Coarse,2.83,2,54.12,Unsafe
Silt,37.48,16.33,Coarse,2.42,4,205.8,Safe
Sand,21.91,17.05,Fine,2.76,5,288.29,Safe
Sand,9.74,19.91,Coarse,1.97,4,358.35,Safe
Silt,23.63,16.02,Coarse,0.75,4,204.85,Safe
Sand,30.66,14.24,Coarse,2.69,4,295.94,Safe
Silt,23.93,15.54,Fine,2.44,4,183.79,Moderate
Sand,34.92,20.7,Fine,2.55,1,249.03,Safe
Silt,37.18,21.62,Fine,2.19,3,191.72,Moderate
Silt,12.19,21.85,Medium,1.02,1,210.91,Safe
Silt,27.98,14.43,Fine,2.81,4,183.37,Moderate
Silt,6.68,16.17,Coarse,2.76,1,233.59,Safe
Gravel,14.69,14.48,Coarse,0.53,2,295.01,Safe
Gravel,39.94,16.17,Medium,0.86,1,277.22,Safe
Sand,7.65,14.7,Medium,2.47,4,230.38,Safe
Clay,5.67,19.75,Medium,2.19,2,226.08,Safe
Clay,27.27,17.44,Medium,2.63,4,149.65,Moderate
Sand,30.86,16.62,Coarse,2.45,5,313.46,Safe
Clay,16.09,21.12,Medium,2.83,3,227.4,Safe
Sand,12.55,21.97,Coarse,0.92,2,313.52,Safe
Sand,7.48,15.81,Coarse,1.63,4,293.8,Safe
Silt,39.92,17.48,Fine,0.8,1,113.38,Moderate
Sand,6.36,21.51,Coarse,2.15,5,386.35,Safe
Clay,19.18,15.62,Coarse,2.2,1,110.06,Moderate
Sand,26.12,18.01,Fine,1.67,3,237.24,Safe
Sand,38.06,19.53,Medium,2.04,2,224.97,Safe
Silt,38.6,16.96,Medium,2.02,3,191.14,Moderate
Silt,16.81,15.68,Fine,1.23,2,127.95,Moderate
Sand,18.01,20.5,Fine,2.2,3,300.33,Safe
Sand,21.02,19.85,Fine,2.61,2,257.22,Safe
Silt,36.97,14.0,Medium,0.99,5,120.26,Moderate
Sand,23.32,17.43,Fine,2.26,3,239.02,Safe
Sand,35.26,17.16,Fine,1.38,2,210.79,Safe
Silt,21.16,18.07,Coarse,1.95,3,265.79,Safe
Clay,18.9,19.31,Medium,1.7,2,127.57,Moderate
Sand,14.56,16.75,Medium,2.79,1,267.67,Safe
Silt,25.67,14.96,Medium,0.86,2,115.38,Moderate
Gravel,16.26,21.56,Medium,2.01,3,397.76,Safe
Sand,11.91,17.44,Medium,2.82,2,264.94,Safe
Clay,5.4,16.46,Coarse,2.84,3,250.02,Safe
Silt,11.96,20.37,Coarse,1.97,2,237.59,Safe
Clay,9.61,16.38,Medium,2.83,4,159.4,Moderate
Clay,29.7,19.55,Fine,1.39,4,99.63,Unsafe
Clay,13.66,16.71,Medium,2.53,2,169.64,Moderate
Sand,35.71,21.33,Medium,1.31,2,221.97,Safe
Sand,38.78,15.19,Coarse,2.59,5,303.66,Safe
Silt,14.77,17.0,Fine,2.92,5,209.75,Safe
Clay,17.68,17.47,Fine,1.97,1,101.74,Moderate
Sand,30.07,21.04,Coarse,1.92,2,312.07,Safe
Clay,21.28,17.11,Medium,0.73,3,98.71,Unsafe
Clay,23.25,18.79,Coarse,2.69,3,168.5,Moderate
Clay,38.0,18.44,Coarse,1.31,1,55.64,Unsafe
Silt,17.9,18.63,Medium,2.65,1,219.35,Safe
Silt,26.34,16.38,Coarse,0.83,4,165.0,Moderate
Silt,36.45,20.89,Medium,2.2,4,255.96,Safe
Silt,37.14,20.79,Fine,1.89,3,223.11,Safe
Silt,27.99,19.02,Coarse,1.53,4,251.79,Safe
Silt,18.81,17.25,Coarse,2.99,1,218.5,Safe
Sand,31.21,14.32,Fine,1.23,5,165.33,Moderate
Silt,12.91,18.09,Coarse,1.09,1,222.44,Safe
Clay,13.66,19.9,Medium,1.23,2,174.1,Moderate
Clay,36.09,15.52,Fine,2.45,1,50.0,Unsafe
Clay,14.43,15.04,Coarse,2.74,1,165.73,Moderate
Silt,7.18,21.98,Coarse,2.9,5,322.31,Safe
Silt,33.75,18.14,Medium,0.81,4,153.96,Moderate
Silt,17.92,17.13,Medium,1.35,2,166.69,Moderate
Silt,9.21,19.88,Coarse,2.23,1,288.57,Safe
Sand,15.38,16.23,Coarse,1.12,1,246.95,Safe
Sand,22.38,17.71,Medium,0.62,4,250.99,Safe
Clay,28.15,20.61,Medium,2.24,5,192.32,Moderate
Clay,11.01,18.82,Medium,2.03,5,181.62,Moderate
Gravel,34.03,18.45,Coarse,2.66,1,400.0,Safe
Clay,31.25,17.02,Coarse,2.97,3,155.64,Moderate
Silt,21.03,18.78,Fine,1.9,2,177.51,Moderate
Sand,29.24,17.55,Fine,2.33,2,229.78,Safe
Silt,19.24,19.19,Fine,0.66,3,149.78,Moderate
Sand,35.47,17.35,Coarse,1.07,1,210.08,Safe
Clay,6.99,18.35,Medium,2.68,3,181.99,Moderate
Clay,12.47,14.4,Fine,0.87,5,104.62,Moderate
Clay,38.14,18.81,Coarse,0.54,4,56.47,Unsafe
Clay,23.11,20.55,Coarse,1.76,5,166.88,Moderate
Silt,15.65,20.56,Coarse,1.96,2,255.13,Safe
Clay,21.64,20.51,Coarse,2.07,3,182.39,Moderate
Silt,34.52,18.91,Fine,1.58,3,177.59,Moderate
Sand,22.52,15.11,Fine,1.83,5,238.29,Safe
Silt,7.41,14.83,Medium,2.0,5,219.87,Safe
Silt,10.86,14.44,Coarse,2.04,4,232.95,Safe
Clay,11.58,19.41,Medium,2.69,5,214.62,Safe
Gravel,36.43,19.61,Medium,1.0,4,286.02,Safe
Sand,8.88,17.94,Fine,2.18,4,234.92,Safe
Gravel,35.55,19.26,Fine,2.93,5,330.17,Safe
Clay,17.76,18.68,Coarse,2.39,3,208.43,Safe
Sand,36.5,19.84,Coarse,2.76,2,326.13,Safe
Clay,14.37,15.29,Medium,2.67,5,139.92,Moderate
Gravel,27.93,17.8,Medium,2.78,3,398.55,Safe
Silt,14.08,20.57,Coarse,2.0,3,301.45,Safe
Sand,36.16,21.71,Medium,2.48,2,335.27,Safe
Sand,26.83,16.68,Medium,2.78,5,296.99,Safe
Sand,32.63,20.16,Coarse,2.79,3,334.92,Safe
Silt,25.94,15.25,Fine,2.02,4,170.53,Moderate
Silt,20.12,17.02,Medium,1.85,3,217.27,Safe
Silt,10.56,14.54,Fine,0.54,3,136.16,Moderate
Sand,32.94,16.53,Fine,0.7,2,143.12,Moderate
Sand,33.13,19.87,Fine,1.21,1,219.77,Safe
Silt,12.73,20.69,Fine,0.62,2,158.58,Moderate
Clay,18.83,19.19,Fine,2.58,1,123.87,Moderate
Gravel,39.44,21.92,Medium,2.76,1,400.0,Safe
Sand,21.07,19.29,Coarse,1.78,2,296.1,Safe
Clay,20.21,21.94,Coarse,0.7,2,163.31,Moderate
Sand,16.43,19.74,Coarse,1.33,2,328.64,Safe
Gravel,29.81,18.81,Fine,2.37,5,296.27,Safe
Silt,32.6,16.7,Fine,2.62,4,175.9,Moderate
Clay,28.66,20.52,Fine,0.84,1,89.25,Unsafe
Silt,10.77,15.29,Coarse,1.52,1,158.94,Moderate
Clay,39.75,18.81,Medium,2.92,3,107.99,Moderate
Clay,10.21,21.71,Fine,1.71,4,181.35,Moderate
Sand,15.54,17.18,Medium,0.92,5,251.28,Safe
Silt,7.84,15.82,Coarse,1.58,4,239.03,Safe
Gravel,22.93,20.78,Coarse,1.66,1,367.57,Safe
Sand,13.45,15.05,Coarse,0.83,3,211.02,Safe
Gravel,28.5,16.48,Medium,1.65,3,332.91,Safe
Clay,39.33,17.46,Coarse,1.82,5,76.58,Unsafe
Sand,31.63,16.54,Medium,2.2,2,243.08,Safe
Sand,35.26,21.69,Medium,0.78,5,298.45,Safe
